P,iter,core1,core2,core3,core4,core5,core6,core7,core8,core9,core10,core11,core12,core13,core14,core15,core16
1,1,26.37,26.00,25.08,24.00,12.47,25.98,26.12,24.84,27.40,26.18,26.38,19.55,27.55,13.15,24.03,18.35
1,2,12.45,26.43,26.71,26.48,27.26,18.86,13.84,23.93,13.43,26.40,20.33,26.44,27.27,13.52,26.24,27.41
1,3,12.53,26.16,27.21,27.45,25.47,25.94,27.13,28.48,26.59,25.12,26.93,24.84,12.82,26.62,12.54,13.10
1,4,26.90,26.37,20.11,27.48,26.18,26.80,13.18,13.34,26.30,12.61,22.68,29.20,13.27,27.51,27.62,27.26
1,5,13.36,26.70,13.03,27.65,26.53,29.24,25.15,23.07,13.07,29.25,13.25,25.84,26.09,27.45,27.69,24.19
1,6,27.11,26.74,27.60,25.23,25.24,9.01,12.75,9.42,23.78,27.10,24.41,27.98,12.86,27.77,27.77,7.19
1,7,19.47,26.81,25.98,27.11,26.19,21.01,23.24,23.52,13.01,21.74,27.85,25.85,22.47,27.16,28.31,13.44
1,8,22.52,27.06,25.73,21.57,13.08,25.58,24.52,29.35,23.01,23.76,25.48,23.22,23.84,13.00,26.09,28.82
1,9,29.65,13.42,10.53,26.70,13.53,13.37,22.30,28.02,25.88,27.50,13.51,10.54,25.93,14.25,13.65,26.58
1,10,13.60,27.35,27.81,13.55,17.79,26.76,25.85,26.60,23.85,24.54,25.36,27.38,22.51,24.14,24.05,25.03
2,1,11.03,25.82,26.42,12.63,11.04,19.86,24.41,32.55,15.54,13.42,13.37,20.80,35.27,34.82,37.70,42.30
2,2,34.41,14.18,20.20,20.52,20.68,28.99,27.13,28.98,21.10,13.82,13.73,20.14,23.03,27.52,36.44,26.31
2,3,34.03,23.30,21.02,32.56,18.40,24.71,14.60,23.69,23.99,23.67,27.26,19.34,23.70,18.13,23.25,25.58
2,4,15.76,38.98,22.26,26.13,22.89,19.65,15.71,15.74,30.30,32.11,26.07,17.77,20.88,23.51,31.98,17.69
2,5,14.27,17.03,13.04,31.41,30.19,12.87,37.19,12.90,30.93,28.89,34.85,30.01,24.40,20.48,13.27,25.67
2,6,16.84,31.70,17.80,16.50,26.38,23.53,23.33,29.32,16.99,24.36,21.57,19.55,23.51,20.81,32.04,33.03
2,7,22.19,9.04,24.17,14.33,32.58,22.37,35.27,28.36,16.89,26.20,36.62,15.62,23.66,24.18,9.04,36.93
2,8,28.93,31.47,15.15,10.49,24.67,10.42,32.35,14.22,33.54,18.96,33.68,21.46,26.12,29.03,14.42,32.68
2,9,24.62,12.73,36.68,23.75,35.79,34.08,11.15,9.59,30.48,15.32,23.53,31.18,9.47,12.75,31.03,35.24
2,10,16.83,28.81,16.35,26.12,24.69,13.54,31.77,26.51,29.38,14.00,19.24,31.57,13.50,27.92,19.93,37.18
4,1,24.36,12.81,26.24,33.43,26.94,31.56,25.72,33.05,25.20,12.63,28.87,13.25,13.99,25.07,33.36,10.56
