P,iter,gbps,retransmits
1,1,41.61,0
1,2,39.46,0
1,3,40.41,0
1,4,39.22,0
1,5,42.13,0
2,1,79.10,0
2,2,77.98,0
2,3,82.12,0
2,4,83.33,0
2,5,81.66,0
4,1,110.13,0
4,2,112.14,0
4,3,112.89,0
4,4,110.58,0
4,5,107.61,0
8,1,108.83,0
8,2,107.78,0
8,3,107.46,0
8,4,108.28,0
8,5,107.50,0
12,1,107.13,0
12,2,107.37,0
12,3,106.78,0
12,4,107.42,0
12,5,108.25,0
16,1,107.14,0
16,2,106.54,0
16,3,106.60,0
16,4,107.03,0
16,5,106.39,0
20,1,106.68,0
20,2,109.33,0
20,3,106.69,0
20,4,107.07,0
20,5,106.99,0
24,1,107.10,0
24,2,106.16,0
24,3,106.33,0
24,4,107.85,0
24,5,106.36,0
28,1,106.59,0
28,2,109.41,0
28,3,107.94,0
28,4,107.60,13272
28,5,107.18,0
32,1,107.55,0
32,2,106.81,0
32,3,107.62,416
32,4,107.72,0
32,5,107.61,755
