P,iter,core1,core2
1,1,28.84,29.34
1,2,26.77,27.73
1,3,29.30,38.66
1,4,27.71,26.85
1,5,37.63,27.51
1,6,26.03,29.05
1,7,28.04,27.61
1,8,24.38,24.69
1,9,27.52,24.55
1,10,29.70,27.76
2,1,49.71,49.88
2,2,42.40,42.75
2,3,50.64,53.03
2,4,27.26,49.76
2,5,36.21,49.47
2,6,50.99,50.02
2,7,50.46,49.26
2,8,42.44,52.42
2,9,41.75,47.27
2,10,47.27,52.39
4,1,50.95,50.59
4,2,54.80,41.09
4,3,52.11,50.73
4,4,45.65,51.96
4,5,53.56,50.30
4,6,50.88,48.44
4,7,50.67,44.61
4,8,50.56,49.93
4,9,52.95,45.98
4,10,50.36,50.17
8,1,50.90,50.86
8,2,52.15,50.31
8,3,50.76,50.45
8,4,50.73,50.97
8,5,49.39,48.14
8,6,52.06,50.29
8,7,52.12,49.94
8,8,51.16,50.85
8,9,48.80,51.22
8,10,51.42,50.96
12,1,51.19,50.02
12,2,50.79,51.16
12,3,49.70,50.53
12,4,49.92,47.33
12,5,51.34,50.28
12,6,51.37,48.48
12,7,51.46,48.68
12,8,47.83,51.04
12,9,51.21,51.29
12,10,48.90,51.01
16,1,51.29,49.62
16,2,52.20,48.90
16,3,51.08,50.28
16,4,50.01,48.64
16,5,51.12,50.19
16,6,49.82,51.10
16,7,48.17,50.23
16,8,50.36,51.33
16,9,51.24,48.64
16,10,49.19,50.92
20,1,51.29,50.14
20,2,51.36,48.72
20,3,51.43,49.64
20,4,51.34,49.72
20,5,51.67,48.22
20,6,48.86,50.21
20,7,48.93,50.92
20,8,49.51,51.21
20,9,49.77,50.83
20,10,49.23,51.25
24,1,51.81,46.78
24,2,49.12,50.69
24,3,48.79,50.76
24,4,48.45,51.07
24,5,50.36,50.79
24,6,50.17,49.32
24,7,51.40,48.92
24,8,51.39,49.74
24,9,50.28,50.56
24,10,49.70,50.76
28,1,50.46,49.14
28,2,51.37,48.72
28,3,51.56,50.14
28,4,50.67,50.71
28,5,50.88,50.13
28,6,51.16,50.10
28,7,51.48,51.04
28,8,51.44,50.05
28,9,50.37,51.01
28,10,51.52,49.68
32,1,51.09,49.98
32,2,51.68,50.29
32,3,50.37,48.03
32,4,48.58,50.58
32,5,50.12,50.32
32,6,51.64,50.90
32,7,49.61,50.53
32,8,51.32,50.48
32,9,49.70,50.53
32,10,50.94,48.39
