P,iter,agg_gbps,retransmits
1,1,58.17,0
1,2,54.50,0
1,3,67.96,0
1,4,54.56,0
1,5,65.15,0
1,6,55.08,0
1,7,55.65,0
1,8,49.07,0
1,9,52.07,0
1,10,57.45,0
2,1,99.59,0
2,2,85.15,0
2,3,103.66,0
2,4,77.02,0
2,5,85.68,0
2,6,101.01,0
2,7,99.72,0
2,8,94.86,28
2,9,89.02,0
2,10,99.66,0
4,1,101.54,109
4,2,95.89,3279
4,3,102.84,1014
4,4,97.61,1120
4,5,103.85,970
4,6,99.32,4554
4,7,95.28,2642
4,8,100.49,35
4,9,98.94,4554
4,10,100.53,120
8,1,101.76,34625
8,2,102.46,32070
8,3,101.21,24495
8,4,101.70,23356
8,5,97.53,43852
8,6,102.35,25005
8,7,102.06,23578
8,8,102.01,24941
8,9,100.02,48145
8,10,102.38,28319
12,1,101.21,95902
12,2,101.96,100423
12,3,100.22,104282
12,4,97.25,87713
12,5,101.61,107458
12,6,99.85,106314
12,7,100.14,89754
12,8,98.88,99166
12,9,102.50,104550
12,10,99.91,92726
16,1,100.91,116501
16,2,101.11,119440
16,3,101.36,129973
16,4,98.65,116466
16,5,101.31,129384
16,6,100.92,123038
16,7,98.41,108208
16,8,101.69,125254
16,9,99.88,132002
16,10,100.11,130246
20,1,101.43,150224
20,2,100.08,137011
20,3,101.07,134244
20,4,101.06,138957
20,5,99.89,118534
20,6,99.07,120515
20,7,99.85,135633
20,8,100.72,139055
20,9,100.60,136502
20,10,100.48,131814
24,1,98.60,145503
24,2,99.81,141782
24,3,99.55,144417
24,4,99.53,149185
24,5,101.15,150837
24,6,99.48,143340
24,7,100.32,152799
24,8,101.13,153901
24,9,100.83,155807
24,10,100.46,142453
28,1,99.60,146852
28,2,100.10,156278
28,3,101.69,157221
28,4,101.39,155937
28,5,101.01,148857
28,6,101.26,159368
28,7,102.52,159808
28,8,101.49,155503
28,9,101.38,158530
28,10,101.20,152778
32,1,101.07,160559
32,2,101.97,170437
32,3,98.41,147924
32,4,99.16,152386
32,5,100.43,155885
32,6,102.54,163612
32,7,100.13,156817
32,8,101.80,156567
32,9,100.23,163010
32,10,99.33,151711
