P,iter,core5,core6,core7,core8,core9,core10,core11,core12
1,1,25.78,27.55,11.07,24.46,28.19,24.52,25.53,10.67
1,2,26.67,10.59,26.81,11.37,28.58,28.55,26.42,24.79
1,3,27.68,26.95,25.18,26.39,29.99,22.30,28.18,28.75
1,4,26.43,27.04,28.87,25.56,19.72,24.87,26.90,27.03
1,5,35.63,25.98,26.99,28.52,23.92,29.31,29.10,26.91
1,6,27.31,24.40,27.33,25.10,26.18,30.24,26.18,27.73
1,7,26.45,21.86,26.07,28.52,29.79,28.83,25.37,28.55
1,8,26.54,13.25,14.04,27.22,27.57,25.42,28.68,26.78
1,9,37.00,26.25,26.35,27.84,23.79,27.17,27.76,26.75
1,10,40.18,27.46,28.06,25.92,25.94,27.13,29.33,27.36
2,1,44.65,37.59,43.22,43.19,40.45,40.70,41.45,41.09
2,2,46.59,40.31,40.66,40.94,39.47,41.24,40.15,40.56
2,3,45.73,45.95,43.04,41.55,37.99,40.08,40.03,41.16
2,4,40.32,28.06,46.61,18.71,40.43,42.83,37.62,41.42
2,5,44.63,38.87,37.79,43.90,35.60,41.33,43.58,41.05
2,6,44.95,45.71,45.22,34.50,41.49,41.41,43.86,41.03
2,7,40.26,43.49,42.89,34.64,28.47,44.97,29.37,34.92
2,8,43.83,42.97,45.77,33.24,41.55,42.90,39.76,39.94
2,9,42.08,46.19,38.78,35.33,41.91,38.62,41.53,36.81
2,10,42.84,43.18,43.87,37.38,30.43,40.95,44.06,34.26
4,1,41.87,44.45,46.93,42.55,43.25,37.95,41.70,43.39
4,2,40.30,0.00,42.65,43.04,42.01,38.51,42.53,38.05
4,3,39.49,41.60,0.00,38.17,0.00,0.00,42.13,42.04
4,4,41.62,44.65,44.10,38.85,38.12,36.26,38.89,42.79
4,5,42.94,38.18,46.22,42.87,42.40,41.76,42.59,41.49
4,6,44.66,45.67,46.40,33.68,38.16,41.68,34.31,39.06
4,7,40.44,43.13,36.13,40.46,40.95,41.45,41.49,36.36
4,8,46.35,45.82,41.71,42.22,45.14,34.43,37.05,41.94
4,9,45.18,40.51,44.38,43.55,39.71,35.91,42.04,41.75
4,10,42.95,37.74,41.24,42.36,42.63,37.51,44.15,41.74
8,1,39.80,45.17,42.83,40.56,43.00,42.65,40.15,42.28
8,2,43.69,42.95,45.45,36.97,41.93,42.17,41.96,37.24
8,3,42.63,44.40,39.42,39.11,36.56,39.39,43.31,42.40
8,4,43.53,45.64,43.53,39.26,37.98,40.39,38.33,40.49
8,5,39.89,40.79,45.00,42.28,40.87,40.26,40.97,42.43
8,6,42.37,44.97,40.64,35.10,40.96,40.52,42.82,39.58
8,7,42.85,42.80,44.92,42.69,39.62,37.50,41.06,39.92
8,8,41.23,41.92,45.58,40.26,40.28,38.73,43.06,36.73
8,9,39.71,39.20,44.09,37.88,40.01,40.34,43.44,37.39
8,10,44.87,43.55,41.78,42.77,40.47,42.35,39.25,41.90
12,1,46.58,44.25,44.00,38.13,43.38,36.57,40.40,40.31
12,2,40.30,40.44,45.89,39.36,39.79,41.44,37.24,38.74
12,3,44.10,40.62,42.34,41.42,40.01,42.65,42.67,38.45
12,4,42.18,44.39,44.13,43.36,40.07,39.24,37.31,40.82
12,5,42.70,45.17,44.00,41.18,35.95,43.53,40.77,37.75
12,6,44.00,43.53,39.68,43.02,40.57,42.43,42.89,39.50
12,7,46.05,45.38,40.34,35.04,38.78,39.45,43.27,38.96
12,8,46.19,40.20,43.54,40.51,41.08,35.97,43.55,37.57
12,9,44.99,42.68,45.68,42.96,38.24,41.11,42.26,38.24
12,10,46.39,40.93,44.09,42.67,43.11,36.37,40.80,40.26
16,1,44.68,44.62,44.23,41.59,38.67,39.04,39.85,40.13
16,2,40.54,44.02,43.02,40.08,39.64,42.79,36.78,38.49
16,3,45.27,45.20,44.25,36.32,40.06,39.60,39.80,41.54
16,4,45.40,44.08,40.69,43.49,41.53,42.89,40.02,41.62
16,5,43.82,44.22,44.17,35.67,40.22,37.94,43.03,39.70
16,6,41.35,41.34,42.59,41.69,43.43,41.28,42.68,43.07
16,7,44.05,44.28,39.33,40.45,43.27,41.22,38.69,41.02
16,8,43.87,44.50,40.89,41.19,42.15,42.56,41.30,40.58
16,9,43.83,44.80,46.42,36.76,39.34,43.00,40.27,38.25
16,10,43.52,45.87,46.16,38.28,38.33,43.12,40.87,38.69
20,1,45.41,42.56,44.93,40.61,40.02,39.39,42.94,42.86
20,2,44.65,45.06,44.51,38.36,43.43,41.27,40.42,41.39
20,3,44.20,43.58,43.12,39.94,41.66,41.76,39.52,38.65
20,4,43.73,45.98,41.22,41.70,41.72,42.82,41.77,38.41
20,5,45.12,42.25,43.59,43.02,41.61,40.54,39.27,38.25
20,6,43.42,44.83,43.23,41.04,37.48,43.12,38.87,36.80
20,7,43.22,43.42,46.41,40.50,40.87,39.42,40.49,41.46
20,8,46.30,42.22,41.15,39.26,42.02,41.69,40.04,38.33
20,9,46.19,39.67,41.06,37.90,41.80,43.14,40.60,42.73
20,10,45.22,41.07,42.36,41.67,39.22,41.16,40.70,40.21
24,1,43.98,44.18,41.45,39.34,42.47,40.06,36.66,41.91
24,2,41.71,43.04,42.52,40.00,38.45,40.82,42.40,39.08
24,3,42.62,44.13,43.46,38.65,38.42,42.19,41.24,38.60
24,4,43.09,43.00,41.44,43.41,41.48,40.71,37.11,39.41
24,5,46.53,46.40,43.09,37.72,38.99,38.92,40.91,39.87
24,6,45.02,45.35,46.54,38.65,40.91,41.06,39.16,41.34
24,7,42.34,41.96,43.52,41.30,37.75,39.71,41.49,41.00
24,8,43.45,44.10,46.31,41.06,36.14,38.76,40.16,38.44
24,9,43.03,39.57,45.13,42.09,40.81,39.75,42.03,40.84
24,10,44.70,45.97,44.18,41.84,41.43,37.30,42.95,41.76
28,1,44.93,44.17,42.83,39.68,41.97,40.93,41.24,37.51
28,2,44.67,40.45,43.73,39.10,40.50,40.37,39.99,40.30
28,3,45.29,42.80,44.20,40.76,38.99,42.35,42.17,40.84
28,4,43.27,42.29,46.10,42.17,40.77,39.66,37.65,40.40
28,5,42.14,41.60,44.66,42.32,40.28,40.24,37.46,41.89
28,6,45.61,42.00,42.28,39.17,41.09,41.23,40.53,38.43
28,7,42.81,43.41,44.14,40.46,40.49,38.66,40.56,40.21
28,8,45.39,43.05,39.65,40.05,40.54,42.18,40.58,40.22
28,9,44.96,44.37,42.64,38.15,38.67,38.58,41.71,38.63
28,10,44.81,42.61,43.13,38.07,42.03,38.55,40.67,39.62
32,1,44.60,44.00,44.49,40.14,37.05,37.89,39.81,40.29
