P,iter,gbps,retransmits
1,1,43.26,0
1,2,37.76,0
1,3,38.89,0
1,4,42.30,0
1,5,39.30,0
2,1,85.36,0
2,2,85.62,0
2,3,81.96,0
2,4,84.36,0
2,5,79.81,0
4,1,86.03,0
4,2,86.80,0
4,3,79.56,0
4,4,86.05,0
4,5,86.44,0
8,1,79.80,0
8,2,86.39,0
8,3,85.32,0
8,4,85.47,0
8,5,84.41,0
12,1,84.22,0
12,2,86.49,0
12,3,84.34,0
12,4,86.05,0
12,5,86.19,0
16,1,84.38,0
16,2,86.11,0
16,3,86.52,0
16,4,85.94,0
16,5,86.01,0
20,1,86.06,0
20,2,86.11,0
20,3,86.22,0
20,4,86.03,0
20,5,85.88,0
24,1,85.85,0
24,2,85.65,0
24,3,89.09,0
24,4,88.71,0
24,5,89.06,0
28,1,88.40,0
28,2,88.42,0
28,3,88.48,0
28,4,89.12,0
28,5,89.09,0
32,1,89.25,0
32,2,89.14,0
32,3,89.25,0
32,4,89.32,0
32,5,89.34,0
